Key,English Value
dialogs.propertyDocuments.uploadNewVersion,Subir una nueva versión de este documento
dialogs.propertyDocuments.uploadVersion,Subir Nueva Versión
dialogs.propertyDocuments.uploadedBy,Subido por
dialogs.propertyDocuments.versions,versiones
dialogs.resolveTicket,Resolver Ticket
dialogs.resolveTicketDesc,Por favor proporciona notas sobre cómo se resolvió este ticket
dialogs.saving,Guardando...
dialogs.selectFile,Seleccionar Archivo
dialogs.templateName,Nombre de la Plantilla
dialogs.templateNameHelper,Asigne a esta plantilla un nombre descriptivo que pueda reconocer más tarde
dialogs.templateNamePlaceholder,"p. ej., Contrato de Arrendamiento Estándar, Lista de Verificación de Mudanza"
dialogs.uploadProgress,Progreso de Subida
dialogs.uploading,Subiendo...
footer.about,Acerca de
footer.help,Ayuda
footer.privacy,Política de Privacidad
footer.rights,Todos los derechos reservados.
footer.terms,Términos de Servicio
header.admin,Administrador
header.dashboard,Panel
header.forManagers,Para Propietarios
header.forTenants,Para Inquilinos
header.home,Inicio
header.invitations,Invitaciones
header.maintenance,Mantenimiento
header.menu,Menú
header.myAccount,Mi Cuenta
header.pricing,Precios
header.properties,Propiedades
header.rentals,Alquileres
header.settings,Configuración
header.signOut,Cerrar Sesión
header.templates,Plantillas
header.tickets,Tickets
help.contact.bugReport,Reportar un Error
help.contact.description,¿No encuentras lo que buscas? Estamos aquí para ayudarte.
help.contact.emailSupport,Soporte por Email
help.contact.title,¿Necesitas Más Ayuda?
help.faq.a1,Ve a la página de Propiedades y haz clic en 
help.faq.a2,"Abre una propiedad, ve a la pestaña Contratos y haz clic en "
help.faq.a3,Ve a Tickets y haz clic en 
help.faq.a4,Usamos verificación de identidad gubernamental para proteger tu cuenta. Ve a Configuración > Identidad para iniciar el proceso de verificación.
help.faq.a5,Los pagos de alquiler se cobran mediante Débito Directo SEPA. Los inquilinos autorizan los pagos al aceptar el contrato de alquiler.
help.faq.a6,"Sí, puedes administrar propiedades ilimitadas en todos los planes. Cada propiedad tiene sus propios inquilinos, documentos e historial de mantenimiento."
help.faq.a7,Soportamos firmas digitales compatibles con eIDAS. Ambas partes firman electrónicamente y los contratos firmados se almacenan de forma segura.
help.faq.a8,"Sí, utilizamos cifrado y prácticas de seguridad estándar de la industria. Todos los datos están cifrados en tránsito y en reposo."
help.faq.description,Respuestas rápidas a preguntas comunes
help.faq.q1,¿Cómo creo una propiedad?
help.faq.q2,¿Cómo invito a un inquilino?
help.faq.q3,¿Cómo envío una solicitud de mantenimiento?
help.faq.q4,¿Cómo funciona la verificación de identidad?
help.faq.q5,¿Cómo se procesan los pagos de alquiler?
help.faq.q6,¿Puedo administrar múltiples propiedades?
help.faq.q7,¿Cómo funcionan los contratos digitales?
help.faq.q8,¿Mis datos están seguros?
help.faq.title,Preguntas Frecuentes
help.gettingStarted.forManagers,Para Administradores de Propiedades
help.gettingStarted.forManagersDesc,"Aprende cómo configurar propiedades, invitar inquilinos y administrar tu cartera"
help.gettingStarted.forTenants,Para Inquilinos
help.gettingStarted.forTenantsDesc,"Aprende cómo aceptar invitaciones, enviar solicitudes y administrar tu alquiler"
help.gettingStarted.title,Primeros Pasos
help.subtitle,Encuentra respuestas a preguntas comunes y aprende a usar FlatMate
help.title,Centro de Ayuda
iban,IBAN
ibanConfigured,Pago Configurado
ibanConfiguredDescription,Sus detalles de pago están configurados y activos
ibanDescription,Su Número de Cuenta Bancaria Internacional
inspections.completed,Completado
inspections.createHint,Crea una inspección de entrada o salida para documentar el estado de la propiedad
inspections.deleteDescription,Esto eliminará permanentemente esta inspección y todos sus datos. Esta acción no se puede deshacer.
inspections.deleteTitle,¿Eliminar Inspección?
inspections.description,Informes de estado de entrada y salida
inspections.draft,Borrador
inspections.inProgress,En Progreso
inspections.loading,Cargando inspecciones...
inspections.moveIn,Entrada
inspections.moveOut,Salida
inspections.newInspection,Nueva Inspección
inspections.newMoveIn,Inspección de Entrada
inspections.newMoveOut,Inspección de Salida
inspections.noInspections,No hay inspecciones aún
inspections.pendingSignatures,Firmas Pendientes
inspections.signedByBoth,Firmado por ambas partes
inspections.title,Inspecciones de Propiedad
invitations.accept,Aceptar
invitations.accepted,Invitación aceptada
invitations.acceptedDesc,Has sido añadido como inquilino
invitations.decline,Rechazar
invitations.declineDialog.confirm,Rechazar Invitación
invitations.declineDialog.description,¿Estás seguro de que deseas rechazar la invitación a
invitations.declineDialog.reasonLabel,Motivo (opcional)
invitations.declineDialog.reasonPlaceholder,Cuéntale al administrador por qué rechazas...
invitations.declineDialog.title,Rechazar Invitación
invitations.declined,Invitación rechazada
invitations.declinedDesc,Aún puedes aceptar otras invitaciones
invitations.declinedInvitations,Invitaciones Rechazadas
invitations.declinedOn,Rechazada el
invitations.description,Acepta o rechaza invitaciones de propiedades
invitations.dismiss,Descartar
invitations.dismissDialog.confirm,Descartar
invitations.dismissDialog.description,Esto cancelará la invitación y eliminará la configuración del arrendamiento. El inquilino deberá ser invitado desde cero.
invitations.dismissDialog.title,Descartar Configuración
invitations.dismissSuccess,Configuración de invitación descartada
invitations.editAndResend,Editar y Reenviar
invitations.expires,Expira
invitations.goToDashboard,Ir al Panel
invitations.loginRequired,Inicio de Sesión Requerido
invitations.loginRequiredDesc,Por favor inicia sesión para aceptar esta invitación
invitations.noAddress,Sin dirección
invitations.noPending,No hay invitaciones pendientes
invitations.noReasonProvided,Sin motivo proporcionado
invitations.notFound,Invitación no encontrada o expirada
invitations.originalTerms,Términos originales
invitations.property,Propiedad
invitations.resendSuccess,Nueva invitación enviada con términos actualizados
invitations.title,Invitaciones Pendientes
issueTask,Incidencia del Inquilino
kyc.actions.renewVerification,Renovar Verificación
kyc.actions.startVerification,Iniciar Verificación
kyc.actions.viewDetails,Ver Detalles de Verificación
kyc.alerts.expired,Tu verificación ha expirado. Por favor renuévala para continuar.
kyc.alerts.expiringSoon,Tu verificación expira pronto. Por favor renuévala para mantener el acceso.
kyc.alerts.notStarted,Completa la verificación de identidad para aumentar la confianza con los administradores de propiedades y acceder a funciones exclusivas.
kyc.alerts.rejected,Tu verificación no fue exitosa. Por favor intenta de nuevo o contacta a soporte.
kyc.benefits.accessFeatures,Accede a funciones exclusivas
kyc.benefits.privacy,Tus datos están protegidos en blockchain
kyc.benefits.secureSignatures,Habilita firmas de contratos verificadas por blockchain
kyc.benefits.title,¿Por qué verificar tu identidad?
kyc.benefits.trustManager,Aumenta la confianza con los administradores de propiedades
kyc.downloadSporran,¿No tienes Sporran? Descárgalo desde sporran.org
kyc.errors.cannotInitiate,No se puede iniciar la verificación en este momento
kyc.errors.fetchFailed,Error al cargar el estado de verificación
kyc.errors.initiationFailed,Error al iniciar el proceso de verificación
kyc.errors.initiationTitle,Error al Iniciar Verificación
kyc.errors.notAuthenticated,Debes iniciar sesión para verificar tu identidad
kyc.errors.profileNotFound,Perfil de usuario no encontrado
kyc.errors.title,Error de Verificación
kyc.errors.unknownError,Ocurrió un error desconocido
kyc.expiresOn,Expira el
kyc.notVerified,No verificado
kyc.scanQRCode,Escanea este código QR con tu cartera Sporran para completar la verificación
kyc.status.expired,Expirado
kyc.status.inProgress,En Proceso
kyc.status.notStarted,No Iniciado
kyc.status.pending,Pendiente
kyc.status.rejected,Rechazado
kyc.status.verified,Verificado
kyc.statusLabel,Estado de Verificación
kyc.subtitle,Verifica tu identidad usando credenciales blockchain del Protocolo KILT
kyc.subtitleNotVerified,Verifica tu identidad de forma segura utilizando tu documento de identidad oficial
kyc.subtitlePending,Tu verificación está en proceso
kyc.subtitleVerified,Tu identidad ha sido verificada
kyc.success.completedDescription,Tu identidad ha sido verificada exitosamente
kyc.success.completedTitle,Verificación Completa
kyc.success.initiatedDescription,Escanea el código QR con la cartera Sporran para completar la verificación
kyc.success.initiatedTitle,Verificación Iniciada
kyc.title,Verificación de Identidad
kyc.verifiedOn,Verificado el
kyc.walletDID,DID de Cartera
landing.carousel.contracts.description,Firma contratos legalmente vinculantes en línea
landing.carousel.contracts.title,Contratos Digitales
landing.carousel.maintenance.description,Rastrea y resuelve incidencias más rápido
landing.carousel.maintenance.title,Mantenimiento Inteligente
landing.carousel.rent.description,"Cobra el alquiler automáticamente, sin perseguir pagos"
landing.carousel.rent.title,Alquiler Automatizado
landing.carousel.verification.description,Identidades verificadas para tu tranquilidad
landing.carousel.verification.title,Inquilinos Verificados
landing.forManagers,Para Administradores de Propiedades
landing.forTenants,Para Inquilinos
landing.getStarted,Comenzar
landing.headline,Simplifica la Gestión de Propiedades
landing.managers.automatedOps.description,"Optimice el cobro de alquileres, mantenimiento y flujos de trabajo de documentos."
landing.managers.automatedOps.title,Operaciones Automatizadas
landing.managers.centralizedControl.description,Administre toda su cartera de propiedades y comunicaciones con inquilinos desde un solo panel.
landing.managers.centralizedControl.title,Control Centralizado
landing.managers.reducedRisk.description,Garantice el cumplimiento con identidades verificadas de inquilinos y contratos digitales legalmente sólidos.
landing.managers.reducedRisk.title,Riesgo Reducido
landing.signIn,Iniciar Sesión
landing.tenants.effortlessRenting.description,"Gestione pagos, documentos y reportes de problemas en un solo lugar."
landing.tenants.effortlessRenting.title,Alquiler Sin Esfuerzo
landing.tenants.moveInReady.description,Verifique su identidad de forma segura y firme contratos digitalmente para un inicio más rápido.
landing.tenants.moveInReady.title,Listo para Mudarse
landing.tenants.totalTransparency.description,"Realice un seguimiento claro de los pagos de alquiler, solicitudes de mantenimiento y comunicaciones."
landing.tenants.totalTransparency.title,Transparencia Total
maintenance.allProperties,Todas las Propiedades
maintenance.assignedTo,Asignado a
maintenance.buttons.createCustomTask,Crear Tarea Personalizada
maintenance.calendar,Calendario
maintenance.calendarDescription,Ver y gestionar tareas de mantenimiento programadas en todas las propiedades
maintenance.calendarView.days.fri,Vie
maintenance.calendarView.days.mon,Lun
maintenance.calendarView.days.sat,Sáb
maintenance.calendarView.days.sun,Dom
maintenance.calendarView.days.thu,Jue
maintenance.calendarView.days.tue,Mar
maintenance.calendarView.days.wed,Mié
maintenance.calendarView.legend,Leyenda:
maintenance.calendarView.navigation.next,Siguiente
maintenance.calendarView.navigation.previous,Anterior
maintenance.calendarView.navigation.today,Hoy
maintenance.calendarView.nextRun,Próxima ejecución:
maintenance.calendarView.noTasks,Aún no hay tareas de mantenimiento programadas
maintenance.calendarView.title,Calendario de Mantenimiento
maintenance.calendarView.upcomingTitle,Próximo Mantenimiento Programado
maintenance.completeTask.completeButton,Marcar como Completada
maintenance.completeTask.completing,Completando...
maintenance.completeTask.description,"Por favor, proporciona notas sobre el trabajo completado para:"
maintenance.completeTask.notesLabel,Notas de Finalización *
maintenance.completeTask.notesPlaceholder,"Describe qué se hizo, problemas encontrados, piezas reemplazadas, etc..."
maintenance.completeTask.notesRequired,Notas requeridas
maintenance.completeTask.notesRequiredMessage,"Por favor, describe el trabajo completado"
maintenance.completeTask.title,Completar Tarea de Mantenimiento
maintenance.createTask,Crear Tarea
maintenance.createTaskDialog.active,Activo
maintenance.createTaskDialog.createButton,Crear Tarea
maintenance.createTaskDialog.creating,Creando...
maintenance.createTaskDialog.customTask,Tarea Personalizada
maintenance.createTaskDialog.description,Programar una nueva tarea de mantenimiento para esta propiedad
maintenance.createTaskDialog.descriptionLabel,Descripción *
maintenance.createTaskDialog.descriptionPlaceholder,Describa la tarea de mantenimiento...
maintenance.createTaskDialog.endDate,Fecha de Fin (Opcional)
maintenance.createTaskDialog.error,Error
maintenance.createTaskDialog.errorMessage,"Error al crear la tarea de mantenimiento. Por favor, intenta de nuevo."
maintenance.createTaskDialog.frequencies.daily,Diaria
maintenance.createTaskDialog.frequencies.monthly,Mensual
maintenance.createTaskDialog.frequencies.quarterly,Trimestral
maintenance.createTaskDialog.frequencies.weekly,Semanal
maintenance.createTaskDialog.frequencies.yearly,Anual
maintenance.createTaskDialog.frequency,Frecuencia
maintenance.createTaskDialog.missingFields,Campos faltantes
maintenance.createTaskDialog.missingFieldsMessage,"Por favor, completa todos los campos requeridos."
maintenance.createTaskDialog.oneTime,Una vez
maintenance.createTaskDialog.pickDate,Seleccionar fecha
maintenance.createTaskDialog.priorities.high,Alta
maintenance.createTaskDialog.priorities.low,Baja
maintenance.createTaskDialog.priorities.medium,Media
maintenance.createTaskDialog.priorities.urgent,Urgente
maintenance.createTaskDialog.priority,Prioridad
maintenance.createTaskDialog.recurring,Recurrente
maintenance.createTaskDialog.scheduleDetails,Detalles de Programación
maintenance.createTaskDialog.scheduleType,Tipo de Programación
maintenance.createTaskDialog.scheduling,Programación
maintenance.createTaskDialog.selectTemplate,Seleccionar Plantilla
maintenance.createTaskDialog.selectType,Seleccionar tipo
maintenance.createTaskDialog.startDate,Fecha de Inicio *
maintenance.createTaskDialog.success,Tarea de mantenimiento creada
maintenance.createTaskDialog.successMessage,Tu tarea de mantenimiento ha sido programada exitosamente.
maintenance.createTaskDialog.targetDate,Fecha Objetivo *
maintenance.createTaskDialog.taskDetails,Detalles de la Tarea
maintenance.createTaskDialog.taskTitle,Título de la Tarea *
maintenance.createTaskDialog.title,Crear Tarea de Mantenimiento
maintenance.createTaskDialog.titleLabel,Título *
maintenance.createTaskDialog.titlePlaceholder,Ingrese el título de la tarea
maintenance.createTaskDialog.type,Tipo
maintenance.createTaskDialog.types.cleaning,Limpieza
maintenance.createTaskDialog.types.inspection,Inspección
maintenance.createTaskDialog.types.maintenance,Mantenimiento
maintenance.createTaskDialog.types.other,Otro
maintenance.createTaskDialog.types.repair,Reparación
maintenance.description,Gestionar tareas de mantenimiento de propiedades
maintenance.dueDate,Fecha de Vencimiento
maintenance.editTask.invalidDates,Fechas inválidas
maintenance.editTask.invalidDatesMessage,La fecha de fin no puede ser anterior a la fecha de inicio.
maintenance.editTask.saveButton,Guardar Cambios
maintenance.editTask.saving,Guardando...
maintenance.editTask.taskUpdated,Tarea actualizada
maintenance.editTask.title,Editar Tarea de Mantenimiento
maintenance.editTask.updateError,"Error al actualizar la tarea de mantenimiento. Por favor, intenta de nuevo."
maintenance.editTask.updateSuccess,La tarea de mantenimiento ha sido actualizada exitosamente.
maintenance.frequency.daily,Diario
maintenance.frequency.monthly,Mensual
maintenance.frequency.quarterly,Trimestral
maintenance.frequency.weekly,Semanal
maintenance.frequency.yearly,Anual
maintenance.manageScheduled,Gestionar Programados
maintenance.noTasks,No hay tareas de mantenimiento
maintenance.noTasksDesc,Programa tareas de mantenimiento para mantener tus propiedades en óptimas condiciones
maintenance.oneTime,Una vez
maintenance.priority,Prioridad
maintenance.priorityHigh,Alto
maintenance.priorityLow,Bajo
maintenance.priorityMedium,Medio
maintenance.priorityUrgent,Urgente
maintenance.recurring,Recurrente
maintenance.scheduleStandard.activeStatus,Estado Activo
maintenance.scheduleStandard.description,Configura la programación para esta tarea de mantenimiento.
maintenance.scheduleStandard.endDate,Fecha de Fin
maintenance.scheduleStandard.error,"Error al programar la tarea. Por favor, inténtalo de nuevo."
maintenance.scheduleStandard.frequency,Frecuencia
maintenance.scheduleStandard.missingFields,"Por favor, completa todos los campos obligatorios."
maintenance.scheduleStandard.pickDate,Seleccionar fecha
maintenance.scheduleStandard.scheduleButton,Programar Tarea
maintenance.scheduleStandard.scheduleConfig,Configuración de Programación
maintenance.scheduleStandard.selectFrequency,Seleccionar frecuencia
maintenance.scheduleStandard.startDate,Fecha de Inicio
maintenance.scheduleStandard.success,Tarea programada
maintenance.scheduleStandard.successDescription,La tarea de mantenimiento ha sido programada exitosamente.
maintenance.scheduleStandard.suggested,Sugerido
maintenance.scheduleStandard.taskDetails,Detalles de la Tarea
maintenance.scheduleStandard.title,Programar Tarea de Mantenimiento
maintenance.scheduled,Programado
maintenance.scheduledTasks.active,Activa
maintenance.scheduledTasks.createSchedule,Programar Tarea
maintenance.scheduledTasks.deleteConfirmDesc,Esto eliminará permanentemente esta programación recurrente. Las tareas existentes no se verán afectadas.
maintenance.scheduledTasks.deleteConfirmTitle,Eliminar programación
maintenance.scheduledTasks.deleteSchedule,Eliminar Programación
maintenance.scheduledTasks.description,Gestiona programaciones de mantenimiento recurrente para esta propiedad
maintenance.scheduledTasks.editSchedule,Editar Programación
maintenance.scheduledTasks.endDate,Fecha de Fin (opcional)
maintenance.scheduledTasks.frequency,Frecuencia
maintenance.scheduledTasks.nextRun,Próxima Ejecución
maintenance.scheduledTasks.noSchedules,Sin tareas programadas
maintenance.scheduledTasks.noSchedulesDesc,Crea programaciones de mantenimiento recurrente para mantener tu propiedad en buen estado
maintenance.scheduledTasks.paused,Pausada
maintenance.scheduledTasks.startDate,Fecha de Inicio
maintenance.scheduledTasks.template,Plantilla
maintenance.scheduledTasks.title,Tareas de Mantenimiento Programadas
maintenance.standardTask.allCategories,Todas las Categorías
maintenance.standardTask.frequency,Frecuencia
maintenance.standardTask.noTemplates,No hay plantillas que coincidan con tu búsqueda.
maintenance.standardTask.schedule,Programar
maintenance.standardTask.searchPlaceholder,Buscar tareas...
maintenance.standardTask.suggestedFrequency,Sugerido
maintenance.status,Estado
maintenance.statusCancelled,Cancelado
maintenance.statusCompleted,Completado
maintenance.statusInProgress,En Progreso
maintenance.statusOpen,Abierto
maintenance.tabs.calendar,Calendario
maintenance.tabs.library,Biblioteca
maintenance.tabs.scheduled,Programados
maintenance.taskDescription,Descripción
maintenance.taskTitle,Título de la Tarea
maintenance.templates.addTemplate,Agregar Plantilla
maintenance.templates.category,Categoría
maintenance.templates.deleteConfirmDesc,Esto eliminará permanentemente esta plantilla de mantenimiento. Esta acción no se puede deshacer.
maintenance.templates.deleteConfirmTitle,Eliminar plantilla de mantenimiento
maintenance.templates.deleteFailed,Error al eliminar plantilla
maintenance.templates.deleteTemplate,Eliminar Plantilla
maintenance.templates.description,Explora y programa tareas de mantenimiento estándar para tus propiedades
maintenance.templates.editTemplate,Editar Plantilla
maintenance.templates.noTemplates,No hay plantillas de mantenimiento
maintenance.templates.noTemplatesDesc,Crea tareas de mantenimiento estándar que se pueden programar para propiedades
maintenance.templates.suggestedFrequency,Frecuencia Sugerida
maintenance.templates.templateDescription,Descripción
maintenance.templates.templateName,Nombre de Plantilla
maintenance.templates.title,Tareas de Mantenimiento Estándar
maintenance.templates.updateFailed,Error al actualizar plantilla
maintenance.title,Mantenimiento
maintenanceTask,Mantenimiento Programado
mandateStatusLabel,Estado del Mandato
monthlyRent,Alquiler Mensual
nav.menu,Menú
nav.myAccount,Mi Cuenta
nav.properties,Propiedades
nav.rentals,Alquileres
newIssue,Nueva Incidencia
nextPayment,Próximo Pago
noAgreements,No se encontraron acuerdos de alquiler
notFound.description,La página que buscas no existe.
notFound.goHome,Ir al Inicio
notFound.title,Página No Encontrada
onboarding.checklist.bankSetup,Configurar Cuenta Bancaria
onboarding.checklist.bankSetupDesc,Agrega tu IBAN para los pagos de alquiler
onboarding.checklist.completed,completados
onboarding.checklist.contractSigning,Firmar Contrato de Alquiler
onboarding.checklist.contractSigningDesc,Revisa y firma tu contrato de arrendamiento
onboarding.checklist.emailVerification,Verificar Correo Electrónico
onboarding.checklist.emailVerificationDesc,Confirma tu email para asegurar tu cuenta
onboarding.checklist.identityVerification,Verificar Tu Identidad
onboarding.checklist.identityVerificationDesc,Completa la verificación de documento de identidad
onboarding.checklist.setupBank,Configurar
onboarding.checklist.signContract,Firmar Contrato
onboarding.checklist.title,Completa Tu Configuración
onboarding.checklist.verifyEmail,Verificar Email
onboarding.checklist.verifyIdentity,Verificar Identidad
payments.acceptedFormats,"JPG, PNG o PDF. Máx 10MB."
payments.amount,Monto
payments.autoReminders,Recordatorios automáticos
payments.availableAfterStart,Disponible después del inicio del arrendamiento
payments.dueOn,Vence el
payments.emptyStates.noHistory,Sin Historial de Pagos
payments.emptyStates.noPaymentsDesc,Los pagos aparecerán aquí una vez que se genere el calendario de alquiler
payments.emptyStates.waitingForAgreement,Crea un contrato de alquiler para comenzar a rastrear pagos
payments.generatingSchedule,Generando calendario de pagos...
payments.markAsPaid,Marcar como Pagado
payments.markPaidBtn,Marcar Pagado
payments.noPayments,Aún no hay pagos
payments.noPaymentsDesc,Los pagos aparecerán aquí una vez que comience el cobro de alquiler
payments.paidOn,Pagado el
payments.paymentHistory,Historial de Pagos
payments.proofReview.approve,Aprobar
payments.proofReview.approved,Pago aprobado
payments.proofReview.notes,Notas de Revisión
payments.proofReview.notesPlaceholder,Agregar notas sobre este pago...
payments.proofReview.reject,Rechazar
payments.proofReview.rejected,Pago rechazado
payments.proofReview.title,Revisar Comprobante de Pago
payments.proofUploaded,Comprobante Subido
payments.remindersDisabled,Recordatorios de pago desactivados
payments.remindersEnabled,Recordatorios de pago activados
payments.reviewBtn,Revisar
payments.selectFile,Seleccionar archivo
payments.statistics.nextDue,Próximo Vencimiento
payments.statistics.noData,Sin datos disponibles
payments.statistics.noHistory,Sin historial
payments.statistics.noneYet,Ninguno aún
payments.statistics.onTimeRate,Tasa de Pago a Tiempo
payments.statistics.payments,pagos
payments.statistics.remindersSent,Recordatorios Enviados
payments.statistics.totalPaid,Total Pagado
payments.statistics.totalReminders,recordatorios totales
payments.status.due,Pendiente
payments.status.failed,Fallido
payments.status.overdue,Vencido
payments.status.paid,Pagado
payments.status.pending,Pendiente
payments.subtitle,Gestiona los pagos de alquiler de esta propiedad
payments.tenant,Inquilino
payments.title,Pagos
payments.toasts.collectionInitiated,Cobro de pago iniciado
payments.toasts.markedPaid,Pago marcado como pagado
payments.toasts.retryFailed,Error al reintentar pago
payments.upcomingPayments,Pagos Próximos
payments.uploadFailed,Error al subir comprobante
payments.uploadProof,Subir Comprobante de Pago
payments.uploadProofBtn,Subir Comprobante
payments.uploadProofDesc,Sube una captura de pantalla o recibo de tu pago
payments.uploadSuccess,Comprobante subido exitosamente
payments.viewProof,Ver Comprobante
pending,Pendiente
placeholders.addComment,Agregar un comentario...
placeholders.adminNotes,Agregar notas sobre esta solicitud...
placeholders.brandName,RentMate
placeholders.city,Barcelona
placeholders.companyName,Tu Empresa
placeholders.customDomain,rentmate.me
placeholders.depositAmount,2000.00
placeholders.depositReturnDays,30
placeholders.documentDescription,Añade una descripción para este documento...
placeholders.documentTitle,"ej., Contrato de Arrendamiento, Póliza de Seguro, Inventario"
placeholders.email,tu@ejemplo.com
placeholders.enterpriseMessage,Cuéntanos sobre tus necesidades de gestión de propiedades...
placeholders.firstName,Juan
placeholders.grantAccessReason,¿Por qué estás otorgando acceso Pro a este usuario?
placeholders.hslColor,221 83% 53%
placeholders.iban,ES9121000418450200051332
placeholders.lastName,García
placeholders.noDocuments,No hay documentos disponibles
placeholders.objectProcessingReason,Describe a qué procesamiento te opones y los motivos de tu objeción...
placeholders.password,••••••••
placeholders.pasteImageUrl,O pegar URL de imagen...
placeholders.paymentDay,1
placeholders.phone,+34 612 345 678
placeholders.postalCode,08001
placeholders.propertiesCount,50
placeholders.propertyAddress,Calle del Mar 123
placeholders.propertyDescription,Hermosa propiedad con vistas al mar...
placeholders.propertyTitle,Villa Frente al Mar
placeholders.rentAmount,1000.00
placeholders.resolutionNotes,Describe cómo se resolvió el problema...
placeholders.restrictProcessingReason,Describe qué actividades de procesamiento deseas restringir y tu motivo...
placeholders.searchSubscriptions,"Buscar por email, nombre o plan..."
placeholders.selectCountry,Seleccionar país
placeholders.selectDateFormat,Seleccionar formato de fecha
placeholders.selectDocument,Elegir un documento...
placeholders.selectProperty,Seleccionar propiedad
placeholders.selectTemplate,Seleccionar una plantilla
placeholders.selectWeekStart,Seleccionar día de inicio de semana
placeholders.stateProvince,Cataluña
placeholders.tenantEmail,inquilino@ejemplo.com
placeholders.ticketDescription,Descripción detallada del problema o solicitud
placeholders.ticketTitle,Breve descripción del problema
placeholders.utilitiesManager,"Electricidad, Agua, Gas"
placeholders.utilitiesTenant,"Calefacción, Internet"
placeholders.utilityAmount,0.00
pricing.customPricing,Precio personalizado
pricing.dayFreeTrial,días de prueba gratis
pricing.faq,Preguntas Frecuentes
pricing.faqChangePlans,¿Puedo cambiar de plan después?
pricing.faqChangePlansAnswer,"Sí, puedes actualizar o cambiar tu plan en cualquier momento. Los cambios se aplican inmediatamente y prorratearemos los cargos."
pricing.faqFreeTrial,¿Hay una prueba gratuita?
pricing.faqFreeTrialAnswer,¡Sí! El plan Pro incluye 14 días de prueba gratis. No se requiere tarjeta de crédito para empezar.
pricing.faqSignatureLimit,¿Qué pasa si excedo mi límite de firmas?
pricing.faqSignatureLimitAnswer,Las firmas adicionales se facturan a €2 por firma. Te notificaremos cuando alcances el 80% de tu límite.
pricing.mostPopular,Más Popular
pricing.subtitle,Elige el plan perfecto para tus necesidades de gestión inmobiliaria
privacy.contactUs,Contáctenos
privacy.contactUsText,"Si tiene preguntas sobre esta Política de Privacidad, contáctenos en"
privacy.cookiesTracking,Cookies y Seguimiento
privacy.cookiesTrackingDesc,Usamos cookies y tecnologías de seguimiento similares para rastrear la actividad en nuestra plataforma y almacenar cierta información para mejorar su experiencia.
privacy.dataSecurity,Seguridad de Datos
privacy.dataSecurityText,"Implementamos medidas de seguridad técnicas y organizativas apropiadas para proteger su información personal. Sin embargo, ningún método de transmisión por Internet es 100% seguro, y no podemos garantizar la seguridad absoluta."
privacy.howWeUse,Cómo Usamos Su Información
privacy.howWeUseList1,"Para proporcionar, operar y mantener nuestros servicios"
privacy.howWeUseList2,Para mejorar y personalizar su experiencia
privacy.howWeUseList3,Para comunicarnos con usted sobre actualizaciones y soporte
privacy.howWeUseList4,Para procesar transacciones y enviar información relacionada
privacy.howWeUseList5,Para monitorear y analizar patrones de uso
privacy.howWeUseList6,Para detectar y prevenir fraudes y abusos
privacy.infoWeCollect,Información que Recopilamos
privacy.introText,FlatMate (
privacy.introduction,Introducción
privacy.lastUpdated,Última actualización
privacy.personalInfo,Información Personal
privacy.personalInfoDesc,"Recopilamos información personal que usted nos proporciona, como nombre, dirección de correo electrónico, número de teléfono e información de propiedad cuando se registra para obtener una cuenta o usa nuestros servicios."
privacy.title,Política de Privacidad
privacy.usageData,Datos de Uso
privacy.usageDataDesc,"Recopilamos automáticamente cierta información cuando usa nuestra plataforma, incluida su dirección IP, tipo de navegador, tiempos de acceso y páginas vistas."
privacy.yourRights,Sus Derechos
privacy.yourRightsIntro,"Dependiendo de su ubicación, puede tener ciertos derechos con respecto a su información personal:"
privacy.yourRightsList1,El derecho a acceder a sus datos personales
privacy.yourRightsList2,El derecho a rectificar datos inexactos
privacy.yourRightsList3,El derecho a solicitar la eliminación de sus datos
privacy.yourRightsList4,El derecho a restringir u objetar el procesamiento de datos
privacy.yourRightsList5,El derecho a la portabilidad de datos
profile.description,Gestionar tu información personal
profile.title,Perfil
properties.active,Activo
properties.addTenant,Agregar Inquilino
properties.address,Dirección
properties.archive,Archivar
properties.archiveConfirmDesc,Esto archivará la propiedad. Puedes desarchivarla más tarde.
properties.archiveFailed,Error al archivar propiedad
properties.archiveNotes,Notas adicionales (opcional)
properties.archiveNotesPlaceholder,Agrega cualquier detalle adicional...
properties.archiveProperty,Archivar Propiedad
properties.archivePropertyDescription,Esta propiedad no tiene inquilinos activos. ¿Estás seguro de que quieres archivarla? Puedes restaurarla más tarde desde propiedades archivadas.
properties.archivePropertyTitle,Archivar Propiedad
properties.archivePropertyWarning,Esta propiedad no tiene inquilinos activos. Puedes archivarla si ya no está en uso.
properties.archivePropertyWithTenantDescription,Advertencia: Esta propiedad tiene un inquilino activo. ¿Estás seguro de que quieres archivarla? Esto afectará su arrendamiento. Puedes restaurarla más tarde desde propiedades archivadas.
properties.archivePropertyWithTenantWarning,Advertencia: Esta propiedad tiene un inquilino activo
properties.archiveReason,Razón para archivar
properties.archiveReasonMerged,Fusionada con Otra Propiedad
properties.archiveReasonNoLongerManaging,Ya No Se Gestiona
properties.archiveReasonOther,Otra
properties.archiveReasonSold,Vendida
properties.archiveReasons.merged,Fusionada con Otra Propiedad
